1: 424KT; Bid: 464
0: A5Q2J; Bid: 430
1: 9QJJ6; Bid: 85
0: 5QTK7; Bid: 954
0: Q539J; Bid: 92
1: 4JT6T; Bid: 798
1: TKJT9; Bid: 608
6: 72722; Bid: 735
2: 84438; Bid: 186
3: 3J3K3; Bid: 179
6: 3Q3Q3; Bid: 882
2: JQQKK; Bid: 975
2: 66AA5; Bid: 158
1: 72J57; Bid: 849
1: 25KAA; Bid: 751
4: 88T88; Bid: 599
0: J293K; Bid: 120
1: 85KA8; Bid: 294
1: J8948; Bid: 598
0: 8679Q; Bid: 52
0: A639K; Bid: 591
0: J679T; Bid: 326
2: T4774; Bid: 816
1: 7QQ4J; Bid: 208
3: 2JQ22; Bid: 76
2: QA6A6; Bid: 379
0: Q5JA8; Bid: 708
0: KJ693; Bid: 479
0: 9K25A; Bid: 148
1: A4A72; Bid: 277
3: T2QQQ; Bid: 573
4: 72777; Bid: 214
3: J222K; Bid: 448
1: T2T6J; Bid: 259
0: 57A83; Bid: 117
2: JJ8K8; Bid: 325
0: JT92A; Bid: 65
1: 53288; Bid: 142
6: A22AA; Bid: 240
1: 8T772; Bid: 586
4: QQQ5Q; Bid: 875
1: Q89TT; Bid: 901
